Qty,Value,Parts,Digikey Part
5,1nF,"C1, C4, C8, C12, C19",399-8131-1-ND
1,0.33 µF,C13,732-7689-1-ND
2,56pF,"C15, C18",399-1203-1-ND
1,68pF,C16,399-1204-1-ND
1,4.7nF,C2,399-17892-1-ND
2,2400pF,"C3, C9",399-14673-1-ND
4,1 µF,"C5, C10, C14, C17",399-1255-1-ND
2,0.1µF,"C6, C11",732-8109-1-ND
1,2.4pF,C7,399-14972-1-ND
3,1SS355VM,"D1, D2, D3",1SS355VMTE-17CT-ND
4,BLM21,"L1, L2, L3, L9",490-1041-1-ND
2,2.2nH,"L4, L6",535-11562-1-ND
1,2.2µH,L5,445-1051-1-ND
2,82nH,"L7, L11",445-1034-1-ND
2,180nH,"L8, L10",445-8986-1-ND
5,PE4259,"Q1, Q2, Q5, Q6, Q9",1046-1011-1-ND
1,USB2514BI,Q1012,USB2514BI-AEZG-CT-ND
1,J310,Q3,MMBFJ310CT-ND
1,BD90GA5WEFJ,Q4,BD90GA5WEFJ-E2CT-ND
1,MC78M05CDTRKG,Q7,MC78M05CDTRKGOSCT-ND
1,MIC5365-3.3,Q8,576-4085-1-ND
1,2k8R,R1,541-2.80KFCT-ND
1,39kR,R10,541-39KECT-ND
1,100R,R12,541-100ECT-ND
6,1kR,"R2, R5, R7, R9, R11, R13",541-1.0KECT-ND
1,1k62R,R3,541-1.62KFCT-ND
1,10kR,R4,P10KALCT-ND
1,100kR,R6,541-100KFCT-ND
1,220R,R8,541-220FCT-ND
1,BFS17,T1,BFS17PE6327HTSA1CT-ND
1,SN74AHC1G08_DCK_5,U1,296-32228-1-ND
3,IF_IN,"X1, X2, X3",A118077CT-ND
1,CBA-UFLSMA-1,X5,CBA-UFLSMA-1-ND
1,MOLEX 0734120502,X6,WM9117-ND
